date,sn,contract_no,stock_symbol,buyer,seller,quantity,rate,amount
2026-05-11,1,2026051105017452,AHL,38,74,97,513.00,"49,761.00"
2026-05-11,2,2026051105017451,AHL,56,74,255,513.00,"130,815.00"
2026-05-11,3,2026051105017688,BEDC,49,58,10,380.00,"3,800.00"
2026-05-11,4,2026051105017551,BEDC,42,58,200,380.00,"76,000.00"
2026-05-11,5,2026051105017549,BEDC,38,38,450,379.00,"170,550.00"
2026-05-11,6,2026051105017548,BEDC,7,38,50,379.00,"18,950.00"
2026-05-11,7,2026051105017225,BEDC,56,58,30,383.00,"11,490.00"
2026-05-11,8,2026051105017223,BEDC,56,14,170,383.00,"65,110.00"
2026-05-11,9,2026051105017378,BEDC,58,52,20,382.00,"7,640.00"
2026-05-11,10,2026051105017377,BEDC,57,52,25,382.00,"9,550.00"
2026-05-11,11,2026051105017376,BEDC,45,52,10,382.00,"3,820.00"
2026-05-11,12,2026051105017278,BEDC,44,58,57,383.00,"21,831.00"
2026-05-11,13,2026051105017237,BEDC,58,58,110,383.00,"42,130.00"
2026-05-11,14,2026051105017393,BEDC,4,52,18,382.00,"6,876.00"
2026-05-11,15,2026051105017388,BEDC,38,38,98,380.00,"37,240.00"
2026-05-11,16,2026051105017387,BEDC,41,38,140,380.10,"53,214.00"
2026-05-11,17,2026051105017386,BEDC,65,38,20,380.10,"7,602.00"
2026-05-11,18,2026051105017385,BEDC,56,38,200,381.00,"76,200.00"
2026-05-11,19,2026051105017384,BEDC,58,38,42,381.00,"16,002.00"
2026-05-11,20,2026051105017498,BEDC,36,58,280,380.00,"106,400.00"
2026-05-11,21,2026051105017497,BEDC,6,58,23,380.00,"8,740.00"
2026-05-11,22,2026051105017496,BEDC,38,58,212,380.00,"80,560.00"
2026-05-11,23,2026051105017418,BEDC,58,52,65,382.00,"24,830.00"
2026-05-11,24,2026051105017500,BEDC,6,58,50,380.00,"19,000.00"
2026-05-11,25,2026051105017499,BEDC,48,58,30,380.00,"11,400.00"
2026-05-11,26,2026051105017310,BHDC,62,77,500,475.00,"237,500.00"
2026-05-11,27,2026051105017309,BHDC,62,58,100,475.00,"47,500.00"
2026-05-11,28,2026051105017308,BHDC,62,51,100,475.00,"47,500.00"
2026-05-11,29,2026051105017307,BHDC,62,14,220,475.00,"104,500.00"
2026-05-11,30,2026051105017651,BHL,38,48,300,227.00,"68,100.00"
2026-05-11,31,2026051105017637,BHL,34,48,41,227.00,"9,307.00"
2026-05-11,32,2026051105017636,BHL,34,13,20,227.00,"4,540.00"
2026-05-11,33,2026051105017635,BHL,34,52,624,227.00,"141,648.00"
2026-05-11,34,2026051105017594,BHL,3,52,65,227.00,"14,755.00"
2026-05-11,35,2026051105017485,BHL,19,52,100,227.00,"22,700.00"
2026-05-11,36,2026051105017358,BHL,29,57,100,227.50,"22,750.00"
2026-05-11,37,2026051105017320,BHL,8,57,80,227.50,"18,200.00"
2026-05-11,38,2026051105017319,BHL,8,58,10,227.10,"2,271.00"
2026-05-11,39,2026051105017318,BHL,8,58,10,227.00,"2,270.00"
2026-05-11,40,2026051105017297,BHL,49,58,10,227.00,"2,270.00"
2026-05-11,41,2026051105017482,BHL,49,52,130,227.00,"29,510.00"
2026-05-11,42,2026051105017478,BHL,56,52,81,227.00,"18,387.00"
2026-05-11,43,2026051105017477,BHL,56,13,19,227.00,"4,313.00"
2026-05-11,44,2026051105017471,BHL,36,13,10,227.00,"2,270.00"
2026-05-11,45,2026051105017381,BHL,22,57,30,226.80,"6,804.00"
2026-05-11,46,2026051105017380,BHL,58,57,70,226.90,"15,883.00"
2026-05-11,47,2026051105017680,BNHC,21,57,445,335.50,"149,297.50"
2026-05-11,48,2026051105017580,BNHC,47,75,10,335.00,"3,350.00"
2026-05-11,49,2026051105017543,BNHC,57,57,25,335.50,"8,387.50"
2026-05-11,50,2026051105017368,BNHC,47,32,20,335.00,"6,700.00"
2026-05-11,51,2026051105017344,BNHC,58,57,100,335.50,"33,550.00"
2026-05-11,52,2026051105017547,CHDC,1,58,1,"2,321.00","2,321.00"
2026-05-11,53,2026051105017510,CHDC,82,94,280,"2,345.00","656,600.00"
2026-05-11,54,2026051105017509,CHDC,82,21,72,"2,344.00","168,768.00"
2026-05-11,55,2026051105017508,CHDC,82,16,500,"2,340.00","1,170,000.00"
2026-05-11,56,2026051105017507,CHDC,82,49,200,"2,340.00","468,000.00"
2026-05-11,57,2026051105017506,CHDC,82,96,73,"2,339.00","170,747.00"
2026-05-11,58,2026051105017505,CHDC,82,34,50,"2,339.00","116,950.00"
2026-05-11,59,2026051105017504,CHDC,82,39,25,"2,339.00","58,475.00"
2026-05-11,60,2026051105017350,CIT,57,35,15,"1,774.20","26,613.00"
2026-05-11,61,2026051105017655,CKHL,62,50,10,678.00,"6,780.00"
2026-05-11,62,2026051105017664,CLI,58,38,40,459.50,"18,380.00"
2026-05-11,63,2026051105017663,CLI,58,36,10,459.50,"4,595.00"
2026-05-11,64,2026051105017659,CLI,38,41,12,459.50,"5,514.00"
2026-05-11,65,2026051105017325,CLI,38,45,330,459.20,"151,536.00"
2026-05-11,66,2026051105017657,DOLTI,67,25,10,360.00,"3,600.00"
2026-05-11,67,2026051105017602,DOLTI,42,25,567,360.00,"204,120.00"
2026-05-11,68,2026051105017601,DOLTI,42,8,400,360.00,"144,000.00"
2026-05-11,69,2026051105017600,DOLTI,42,38,33,360.00,"11,880.00"
2026-05-11,70,2026051105017585,DOLTI,16,38,200,360.00,"72,000.00"
2026-05-11,71,2026051105017578,DOLTI,58,38,20,360.00,"7,200.00"
2026-05-11,72,2026051105017333,DOLTI,35,38,33,360.00,"11,880.00"
2026-05-11,73,2026051105017321,DOLTI,57,38,75,360.00,"27,000.00"
2026-05-11,74,2026051105017577,DOLTI,45,38,80,360.00,"28,800.00"
2026-05-11,75,2026051105017576,DOLTI,45,1,30,359.50,"10,785.00"
2026-05-11,76,2026051105017557,DOLTI,58,45,10,359.00,"3,590.00"
2026-05-11,77,2026051105017414,DOLTI,4,38,300,360.00,"108,000.00"
2026-05-11,78,2026051105017389,DOLTI,58,38,300,360.00,"108,000.00"
2026-05-11,79,2026051105017334,DOLTI,35,38,67,360.00,"24,120.00"
2026-05-11,80,2026051105017622,DORDI,25,36,50,280.00,"14,000.00"
2026-05-11,81,2026051105017621,DORDI,25,45,"2,246",280.00,"628,880.00"
2026-05-11,82,2026051105017592,DORDI,38,43,77,279.90,"21,552.30"
2026-05-11,83,2026051105017591,DORDI,44,43,123,279.90,"34,427.70"
2026-05-11,84,2026051105017581,DORDI,58,45,100,280.00,"28,000.00"
2026-05-11,85,2026051105017375,EHPL,42,50,180,393.00,"70,740.00"
2026-05-11,86,2026051105017374,EHPL,42,3,10,393.00,"3,930.00"
2026-05-11,87,2026051105017373,EHPL,42,5,100,393.00,"39,300.00"
2026-05-11,88,2026051105017372,EHPL,42,38,500,392.00,"196,000.00"
2026-05-11,89,2026051105017371,EHPL,42,1,100,392.00,"39,200.00"
2026-05-11,90,2026051105017370,EHPL,42,5,100,392.00,"39,200.00"
2026-05-11,91,2026051105017369,EHPL,42,58,10,391.00,"3,910.00"
2026-05-11,92,2026051105017345,EHPL,11,49,50,390.10,"19,505.00"
2026-05-11,93,2026051105017690,GCIL,32,28,10,424.50,"4,245.00"
2026-05-11,94,2026051105017290,GCIL,41,41,30,422.50,"12,675.00"
2026-05-11,95,2026051105017401,GCIL,5,38,70,423.00,"29,610.00"
2026-05-11,96,2026051105017400,GCIL,29,38,30,423.00,"12,690.00"
2026-05-11,97,2026051105017583,GVL,17,22,130,496.00,"64,480.00"
2026-05-11,98,2026051105017582,GVL,17,45,20,496.00,"9,920.00"
2026-05-11,99,2026051105017529,GVL,60,45,20,496.00,"9,920.00"
2026-05-11,100,2026051105017528,GVL,60,13,80,496.00,"39,680.00"
2026-05-11,101,2026051105017326,GVL,34,60,100,495.00,"49,500.00"
2026-05-11,102,2026051105017476,HATHY,22,96,216,824.00,"177,984.00"
2026-05-11,103,2026051105017472,HATHY,42,96,100,824.00,"82,400.00"
2026-05-11,104,2026051105017623,HDL,86,43,10,"1,175.10","11,751.00"
2026-05-11,105,2026051105017569,HDL,58,38,25,"1,175.40","29,385.00"
2026-05-11,106,2026051105017359,HDL,51,38,110,"1,175.40","129,294.00"
2026-05-11,107,2026051105017530,HDL,57,38,50,"1,175.40","58,770.00"
2026-05-11,108,2026051105017481,HDL,86,38,200,"1,175.40","235,080.00"
2026-05-11,109,2026051105017440,HDL,46,17,33,"1,175.00","38,775.00"
2026-05-11,110,2026051105017709,HHL,62,45,10,387.00,"3,870.00"
2026-05-11,111,2026051105017650,HHL,54,46,60,386.50,"23,190.00"
2026-05-11,112,2026051105017648,HHL,33,45,741,387.00,"286,767.00"
2026-05-11,113,2026051105017647,HHL,33,5,100,387.00,"38,700.00"
2026-05-11,114,2026051105017646,HHL,33,38,149,387.00,"57,663.00"
2026-05-11,115,2026051105017645,HHL,33,58,10,387.00,"3,870.00"
2026-05-11,116,2026051105017293,HHL,49,38,50,385.50,"19,275.00"
2026-05-11,117,2026051105017292,HHL,17,38,650,385.90,"250,835.00"
2026-05-11,118,2026051105017236,HHL,17,42,50,385.90,"19,295.00"
2026-05-11,119,2026051105017218,HHL,17,58,300,385.90,"115,770.00"
2026-05-11,120,2026051105017519,HHL,54,71,235,386.00,"90,710.00"
2026-05-11,121,2026051105017484,HHL,29,71,500,386.00,"193,000.00"
2026-05-11,122,2026051105017383,HHL,58,71,265,386.80,"102,502.00"
2026-05-11,123,2026051105017343,HHL,58,58,200,386.50,"77,300.00"
2026-05-11,124,2026051105017342,HHL,58,21,"1,010",386.50,"390,365.00"
2026-05-11,125,2026051105017341,HHL,58,16,25,386.00,"9,650.00"
2026-05-11,126,2026051105017644,HHL,33,48,100,387.00,"38,700.00"
2026-05-11,127,2026051105017643,HHL,33,6,900,387.00,"348,300.00"
2026-05-11,128,2026051105017560,HHL,45,6,100,387.00,"38,700.00"
2026-05-11,129,2026051105017559,HHL,45,51,300,386.90,"116,070.00"
2026-05-11,130,2026051105017558,HHL,45,17,100,386.90,"38,690.00"
2026-05-11,131,2026051105017544,HHL,54,45,200,386.50,"77,300.00"
2026-05-11,132,2026051105017704,HIDCL,19,58,10,274.00,"2,740.00"
2026-05-11,133,2026051105017703,HIDCL,19,52,470,274.00,"128,780.00"
2026-05-11,134,2026051105017702,HIDCL,19,51,20,273.90,"5,478.00"
2026-05-11,135,2026051105017682,HIDCL,57,51,20,273.90,"5,478.00"
2026-05-11,136,2026051105017667,HIDCL,58,51,10,273.90,"2,739.00"
2026-05-11,137,2026051105017526,HIDCL,14,51,100,273.90,"27,390.00"
2026-05-11,138,2026051105017419,HIDCL,16,41,200,274.40,"54,880.00"
2026-05-11,139,2026051105017399,HIDCL,49,41,25,274.00,"6,850.00"
2026-05-11,140,2026051105017398,HIDCL,49,39,215,274.00,"58,910.00"
2026-05-11,141,2026051105017397,HIDCL,49,4,22,274.00,"6,028.00"
2026-05-11,142,2026051105017360,HIDCL,49,4,40,274.00,"10,960.00"
2026-05-11,143,2026051105017299,HIDCL,19,4,80,274.00,"21,920.00"
2026-05-11,144,2026051105017516,HIDCL,58,52,50,274.00,"13,700.00"
2026-05-11,145,2026051105017457,HIDCL,49,52,100,274.00,"27,400.00"
2026-05-11,146,2026051105017456,HIDCL,1,52,183,274.00,"50,142.00"
2026-05-11,147,2026051105017455,HIDCL,94,52,100,274.00,"27,400.00"
2026-05-11,148,2026051105017454,HIDCL,49,52,163,274.00,"44,662.00"
2026-05-11,149,2026051105017420,HIDCL,16,45,800,274.50,"219,600.00"
2026-05-11,150,2026051105017716,HRL,6,45,20,704.00,"14,080.00"
2026-05-11,151,2026051105017715,HRL,49,45,80,704.00,"56,320.00"
2026-05-11,152,2026051105017714,HRL,47,45,78,705.00,"54,990.00"
2026-05-11,153,2026051105017713,HRL,47,58,50,705.00,"35,250.00"
2026-05-11,154,2026051105017712,HRL,47,58,22,705.00,"15,510.00"
2026-05-11,155,2026051105017707,HRL,76,4,10,704.30,"7,043.00"
2026-05-11,156,2026051105017238,HRL,58,32,10,704.00,"7,040.00"
2026-05-11,157,2026051105017234,HRL,35,22,2,704.00,"1,408.00"
2026-05-11,158,2026051105017233,HRL,35,52,32,704.00,"22,528.00"
2026-05-11,159,2026051105017232,HRL,35,58,35,704.00,"24,640.00"
2026-05-11,160,2026051105017224,HRL,38,58,20,704.00,"14,080.00"
2026-05-11,161,2026051105017244,HRL,88,45,100,704.00,"70,400.00"
2026-05-11,162,2026051105017243,HRL,88,45,14,704.00,"9,856.00"
2026-05-11,163,2026051105017242,HRL,88,49,100,704.00,"70,400.00"
2026-05-11,164,2026051105017241,HRL,88,68,109,704.00,"76,736.00"
2026-05-11,165,2026051105017240,HRL,88,32,16,704.00,"11,264.00"
2026-05-11,166,2026051105017239,HRL,62,57,50,703.30,"35,165.00"
2026-05-11,167,2026051105017250,HRL,88,48,12,704.50,"8,454.00"
2026-05-11,168,2026051105017249,HRL,88,58,10,704.00,"7,040.00"
2026-05-11,169,2026051105017248,HRL,88,14,21,704.00,"14,784.00"
2026-05-11,170,2026051105017247,HRL,88,45,100,704.00,"70,400.00"
2026-05-11,171,2026051105017246,HRL,88,64,692,704.00,"487,168.00"
2026-05-11,172,2026051105017245,HRL,88,77,500,704.00,"352,000.00"
2026-05-11,173,2026051105017256,HRL,88,29,100,704.80,"70,480.00"
2026-05-11,174,2026051105017255,HRL,88,5,200,704.80,"140,960.00"
2026-05-11,175,2026051105017254,HRL,88,38,10,704.80,"7,048.00"
2026-05-11,176,2026051105017253,HRL,88,58,156,704.80,"109,948.80"
2026-05-11,177,2026051105017252,HRL,88,62,100,704.70,"70,470.00"
2026-05-11,178,2026051105017251,HRL,88,57,50,704.50,"35,225.00"
2026-05-11,179,2026051105017262,HRL,88,58,10,705.00,"7,050.00"
2026-05-11,180,2026051105017261,HRL,88,49,34,705.00,"23,970.00"
2026-05-11,181,2026051105017260,HRL,88,42,400,704.90,"281,960.00"
2026-05-11,182,2026051105017259,HRL,88,10,100,704.90,"70,490.00"
2026-05-11,183,2026051105017258,HRL,88,21,32,704.90,"22,556.80"
2026-05-11,184,2026051105017257,HRL,88,49,30,704.80,"21,144.00"
2026-05-11,185,2026051105017268,HRL,88,5,100,705.00,"70,500.00"
2026-05-11,186,2026051105017267,HRL,88,20,11,705.00,"7,755.00"
2026-05-11,187,2026051105017266,HRL,88,59,400,705.00,"282,000.00"
2026-05-11,188,2026051105017265,HRL,88,7,32,705.00,"22,560.00"
2026-05-11,189,2026051105017264,HRL,88,45,32,705.00,"22,560.00"
2026-05-11,190,2026051105017263,HRL,88,62,10,705.00,"7,050.00"
